日期,节气,AQI指数,PM2.5,PM10,So2,No2,Co,O3,最低温度(℃),最高温度(℃),平均温度(℃),湿度(%),风向,风速(m/s),风级(级),气压(hpa),能见度(km),总降水量(mm),平均总云量(%)
2019/8/21,立秋,48,30,29,4,26,0.58,55,18.7,31.1,25.4,51,西北风,1.4,1,1006,18.2,0,18
2019/8/22,立秋,34,13,31,2,33,0.55,42,20.7,29.6,25.1,47,西北风,1.4,1,1006,23.9,0,85
2019/8/23,处暑,33,10,31,2,34,0.55,39,16.7,30.2,24.6,49,北风,1,1,1008,26.1,0,64
2019/8/24,处暑,49,14,42,2,32,0.48,77,20.1,30.8,25.7,52,西南风,1.4,1,1008,21.9,0,10
2019/8/25,处暑,52,23,51,2,29,0.62,90,18.2,29.8,24.8,56,西南风,2,2,1008,17.1,0,45
2019/8/26,处暑,99,74,88,2,38,0.86,77,20.5,25.7,23.3,75,西南风,1,1,1006,2.9,0,100
2019/8/27,处暑,52,31,32,2,31,0.53,54,18.6,33.1,26.5,49,西风,1.9,2,1004,19.4,0,33
2019/8/28,处暑,26,4,25,2,22,0.3,45,18.1,30.4,26,30,西北风,3.1,2,1003,29.3,0,20
2019/8/29,处暑,36,22,23,2,21,0.51,46,19.2,29.4,24.9,33,北风,1.3,1,1006,29.4,0,26
2019/8/30,处暑,44,17,43,3,28,0.53,66,22.8,30.7,26.1,34,北风,1.9,2,1008,29.8,0,13
2019/8/31,处暑,86,57,78,5,37,1.09,102,17.5,30.5,25.1,43,南风,1.1,1,1010,27.3,0,12
2019/9/1,处暑,54,19,51,2,31,0.43,96,18.7,31.2,25.7,45,西南风,1.6,2,1011,24.4,0,5
2019/9/2,处暑,66,24,58,2,34,0.51,113,18.5,31.9,26,48,南风,1.6,2,1012,17.6,0,36
2019/9/3,处暑,86,47,83,2,39,0.67,142,19.3,31.7,26.3,54,南风,1.5,1,1010,10.9,0,8
2019/9/4,处暑,87,53,80,3,39,0.76,120,20.4,30.5,25.2,56,东南风,1,1,1008,9.6,0,100
2019/9/5,处暑,81,44,71,2,33,0.65,129,19,30.9,25.1,52,西南风,1.3,1,1004,12.8,0,100
2019/9/6,处暑,87,47,82,2,39,0.7,142,19.2,31.5,25.8,54,南风,0.8,1,1004,9.3,0,48
2019/9/7,处暑,87,45,74,2,36,0.68,140,21.3,33.8,27.5,49,西南风,1.6,2,999,12,0,6
2019/9/8,白露,70,33,71,2,35,0.62,121,21.2,35.2,28.5,46,西南风,1.3,1,1001,16.3,0,50
2019/9/9,白露,93,66,95,6,31,1.36,132,20.1,31,25.7,68,东风,1.9,2,1007,4.1,37.5,100
2019/9/10,白露,19,9,11,2,19,0.47,54,18.9,21.2,20.2,84,北风,1.5,1,1015,19.3,27.9,100
2019/9/11,白露,27,15,26,4,32,0.75,26,19,23.7,21.3,65,东北风,0.8,1,1017,19.4,0,100
2019/9/12,白露,30,18,29,2,24,0.54,52,19,22.1,20.6,62,南风,0.8,1,1012,19.9,4,100
2019/9/13,白露,39,22,23,2,21,0.51,46,17.8,26.2,21.6,74,西风,1.3,1,1008,14.9,22,100
2019/9/14,白露,28,11,25,2,27,0.38,53,17.9,28.3,23.1,57,西风,1,1,1012,23,0,87
2019/9/15,白露,49,26,52,2,37,0.54,64,16.7,26.4,21.7,70,西南风,0.8,1,1009,11,0,57
2019/9/16,白露,43,17,43,3,28,0.53,66,16.7,26.6,21.8,53,南风,1.5,1,1013,23,0,12
2019/9/17,白露,54,29,60,2,31,0.65,72,16.3,26.5,21.7,63,西南风,1.8,2,1014,13.9,0,86
2019/9/18,白露,27,5,23,2,19,0.27,59,17.3,24.9,20.9,29,东风,1.6,2,1021,29.4,0,4
2019/9/19,白露,54,22,59,2,42,0.55,45,14.2,23.8,18.7,57,西南风,1.1,1,1017,18.5,0,100
2019/9/20,白露,60,36,69,2,40,0.68,64,15,26,20.6,63,南风,0.6,1,1013,12,0,90
2019/9/21,白露,85,57,78,5,37,1.09,102,16.5,27.4,22.2,64,东风,1.4,1,1018,6.8,0,80
2019/9/22,白露,108,78,73,4,29,1.27,117,16.8,26.7,21.7,65,东风,0.8,1,1018,7.2,0,53
2019/9/23,秋分,59.43478261,30,40,2,35,0.65,72,16.8,30.6,23.7,48,西风,1.4,1,1015,19.4,0,12
2019/9/24,秋分,59.46068455,11,34,2,29,0.4,67,16.8,31,23.7,42,东南风,1.1,1,1016,26.8,0,5
2019/9/25,秋分,59.48658649,22,52,2,36,0.62,89,14.6,29.1,22.4,53,西南风,0.8,1,1018,20.4,0,0
2019/9/26,秋分,59.51248844,33,56,2,35,0.67,113,15.5,28.6,22.3,57,南风,0.6,1,1018,12.6,0,38
2019/9/27,秋分,59.53839038,52,56,2,28,0.86,100,16.3,26.8,21.2,61,南风,1.4,1,1017,11.7,0,80
2019/9/28,秋分,59.56429232,56,66,2,31,0.82,110,15.7,28,21.8,62,南风,0.9,1,1013,6.6,0,0
2019/9/29,秋分,59.59019426,57,72,2,31,0.82,117,16.8,28.9,22.6,61,南风,0.8,1,1011,7.7,0,60
2019/9/30,秋分,59.61609621,71,96,3,33,0.93,96,16.9,28.4,22.7,63,南风,1.1,1,1010,7.6,0,36
2019/10/1,秋分,59.64199815,51,80,3,23,0.76,94,16.6,28.1,23.1,56,南风,1,1,1011,11.6,0,14
2019/10/2,秋分,59.66790009,50,56,2,23,0.87,110,17.3,27.8,22,62,西南风,0.8,1,1009,8.8,0,0
2019/10/3,秋分,59.69380204,56,75,2,23,0.78,128,17.1,29,22.9,65,东南风,1.5,1,1008,6.4,0,55
2019/10/4,秋分,59.71970398,13,16,2,11,0.39,42,12.1,19.2,14.5,70,东北风,2.8,2,1019,22.8,15.4,96
2019/10/5,秋分,59.74560592,6,6,2,17,0.28,43,9.6,19,13.7,44,北风,1.5,1,1024,29.4,0,68
2019/10/6,秋分,59.77150786,21,29,1,36,0.39,22,8.8,16.3,13,65,西南风,1,1,1021,17.1,0,100
2019/10/7,秋分,59.79740981,39,27,2,35,0.56,31,9.4,21.7,16,62,西南风,2,2,1015,8.1,0,24
2019/10/8,寒露,59.82331175,6,21,2,21,0.27,43,11.6,20,15.6,33,东北风,2.1,2,1020,28.8,0,0
2019/10/9,寒露,59.84921369,32,56,3,44,0.57,35,8.6,21.5,15.4,59,西南风,1.8,2,1013,12.8,0,96
2019/10/10,寒露,59.87511563,46,44,2,30,0.54,33,13.1,17.9,15,75,西南风,1.3,1,1011,6.4,0,84
2019/10/11,寒露,59.90101758,43,56,4,44,0.74,15,12,18.5,15.8,61,东南风,1.1,1,1017,14,0,100
2019/10/12,寒露,59.92691952,27,70,14,56,1.33,7,14.5,16.3,15.3,46,东风,1.1,1,1020,15.9,0,100
2019/10/13,寒露,59.95282146,23,53,4,45,0.98,8,8.5,14.7,11.1,74,东风,1.3,1,1025,10.6,1.9,95
2019/10/14,寒露,59.9787234,8,19,2,25,0.29,30,5,14.4,9.3,37,北风,1.3,1,1033,22,0,0
2019/10/15,寒露,60.00462535,15,31,2,38,0.42,21,3.5,16.5,10.1,49,东南风,0.8,1,1029,18.9,0,72
2019/10/16,寒露,60.03052729,26,43,2,45,0.5,15,6.7,17.8,11.2,58,西南风,1.5,1,1024,14.3,0,100
2019/10/17,寒露,60.05642923,53,53,2,51,0.8,2,8.9,14,10.9,83,西南风,0.9,1,1022,3.3,0.8,98
2019/10/18,寒露,60.08233117,58,44,1,42,0.8,23,7.5,17.2,11.6,81,西南风,0.8,1,1020,2.6,0,87
2019/10/19,寒露,60.10823312,121,84,2,57,1.21,16,7.3,16.8,12,83,东北风,0.4,1,1017,1.4,0,97
2019/10/20,寒露,60.13413506,84,123,2,42,0.78,25,9.7,21.8,14.6,63,北风,0.8,1,1016,4.6,0,47
2019/10/21,寒露,60.160037,16,52,2,43,0.52,21,6.6,19.7,12.5,44,东风,0.8,1,1017,21,0,0
2019/10/22,寒露,60.18593895,42,96,2,59,0.86,20,7.8,18.7,12.5,67,东风,0.8,1,1014,7.1,0,70
2019/10/23,寒露,60.21184089,77,120,3,67,1.07,39,8.3,21.1,14.1,68,东北风,0.8,1,1014,3.9,0,83
2019/10/24,霜降,60.23774283,70,82,2,55,0.98,20,9,14.5,11.6,66,北风,2.3,2,1017,12.9,5.1,55
2019/10/25,霜降,60.26364477,7,18,2,22,0.3,38,4,12.9,8.4,40,北风,2.6,2,1025,26,0,0
2019/10/26,霜降,60.28954672,28,51,3,46,0.57,16,2.6,15.8,7.7,57,西南风,0.8,1,1021,16.8,0,50
2019/10/27,霜降,60.31544866,52,78,3,57,0.78,15,3.5,18.2,10.4,56,西南风,0.6,1,1011,6.8,0,6
2019/10/28,霜降,60.3413506,28,172,2,21,0.33,44,5.2,13.4,10.8,27,西北风,3.4,3,1010,18.9,0,8
2019/10/29,霜降,60.36725254,30,81,3,52,0.6,19,1.5,17.6,9,41,西南风,0.9,1,1015,15.6,0,0
2019/10/30,霜降,60.39315449,53,114,3,73,0.83,11,3.1,20.5,10.8,54,西南风,0.6,1,1013,6.8,0,18
2019/10/31,霜降,60.41905643,37,85,3,59,0.95,25,4.6,24.6,14.1,49,北风,0.9,1,1016,12,0,12
2019/11/1,霜降,60.44495837,26,69,5,52,0.81,18,6.4,17.6,12.3,57,东风,1.1,1,1021,17.1,0,90
2019/11/2,霜降,60.47086031,27,50,2,51,0.68,6,10.3,14.4,12,71,北风,1.1,1,1018,12.9,0.6,93
2019/11/3,霜降,60.49676226,32,46,3,33,0.59,18,6.3,12.5,10.3,73,北风,0.8,1,1024,9.2,0.3,75
2019/11/4,霜降,60.5226642,49,59,2,46,0.85,13,3.6,15.7,9.6,75,西南风,0.6,1,1022,4.7,0,0
2019/11/5,霜降,60.54856614,44,59,3,43,0.79,20,5.4,16.5,10.7,69,东南风,1.1,1,1020,8.5,0,34
2019/11/6,立冬,68,44,70,2,58,0.7,10,7.9,13.3,10.3,73,东北风,0.6,1,1016,7.8,0,92
2019/11/7,立冬,68,25,50,2,38,0.52,25,5.6,12.4,8.7,44,东北风,1.1,1,1023,18.9,0,4
2019/11/8,立冬,68,37,72,3,56,0.8,10,0.7,15.6,7.4,63,南风,0.3,1,1021,8.5,0,0
2019/11/9,立冬,68,80,93,2,65,1,8,3,13.6,8.9,73,东风,0.8,1,1015,3.9,7.5,76
2019/11/10,立冬,68,36,86,2,25,0.43,44,7.9,16,11.5,47,西北风,2.4,2,1005,13.6,9.4,24
2019/11/11,立冬,68,16,51,2,41,0.48,25,4,18.5,11.8,43,西南风,1.1,1,1012,21.1,0,5
2019/11/12,立冬,68,51,93,5,74,0.92,7,9.2,16.3,12.5,47,东北风,0.6,1,1013,10.7,0,82
2019/11/13,立冬,68,9,59,2,13,0.23,51,0.1,13.9,6.4,21,西北风,3.8,3,1022,26.3,0,10
2019/11/14,立冬,68,25,58,5,50,0.63,12,-2.6,6.7,2.1,39,东北风,0.6,1,1015,15.6,0,16
2019/11/15,立冬,68,35,78,6,52,0.92,9,-1.2,8.4,4.3,61,东风,0.8,1,1014,12.1,0,68
2019/11/16,立冬,68,47,80,8,52,1.29,6,5.6,8.2,7,63,东风,0.9,1,1016,8.1,0,96
2019/11/17,立冬,68,55,185,5,37,0.93,22,-0.6,9.9,6.1,46,西北风,3,2,1018,7.3,0,98
2019/11/18,立冬,68,19,103,2,17,0.3,40,-3.7,3.2,-0.9,17,西风,2.8,2,1026,20.3,0,0
2019/11/19,立冬,68,19,61,2,31,0.37,32,-0.4,6.3,2.5,16,西风,1.6,2,1025,21.6,0,0
2019/11/20,立冬,68,59,121,7,68,0.93,7,-3.4,6.8,1.4,45,东北风,0.4,1,1025,7.5,0,35
2019/11/21,立冬,68,89,157,8,77,1.59,3,-0.1,5,2.3,64,东北风,0.8,1,1022,4.6,0,92
2019/11/22,小雪,68,136,179,9,93,2.41,3,1.8,9.3,6.3,70,东南风,0.6,1,1018,2.5,0,90
2019/11/23,小雪,68,138,143,6,72,1.65,16,7.7,12,10.1,54,北风,1.8,2,1017,4.3,0,92
2019/11/24,小雪,68,7,31,2,11,0.23,51,-1.1,10.3,3.7,14,北风,4,3,1032,29.4,0,44
2019/11/25,小雪,68,12,28,3,31,0.37,20,-3.7,1.7,-1.5,23,西南风,1.3,1,1035,26.8,0,15
2019/11/26,小雪,68,38,74,5,58,0.78,6,-5.3,4.2,-0.6,35,北风,0.6,1,1029,11.3,0,60
2019/11/27,小雪,68,7,21,2,24,0.29,39,-4.8,3.4,0.6,22,东北风,1.8,2,1036,25.4,0,15
2019/11/28,小雪,68,34,63,9,56,0.91,9,-5.4,2.6,-2,48,东北风,0.9,1,1035,12,0,34
2019/11/29,小雪,68,57,77,7,64,1.04,3,-4.5,1.5,-1.1,61,东南风,1,1,1032,7.6,2,100
2019/11/30,小雪,68,58,26,2,38,0.74,27,-1.3,3.6,0.4,64,西北风,2,2,1026,12.2,1.1,70
2019/12/1,小雪,68,11,29,4,17,0.34,52,-2.7,4.2,0.5,30,西北风,2.8,2,1026,27.4,0,8
2019/12/2,小雪,68,9,24,2,22,0.33,41,-3.3,3.6,-0.1,28,西南风,2.1,2,1024,28.1,0,0
2019/12/3,小雪,68,15,44,3,38,0.46,33,-4.6,9.4,1.9,39,西风,1.6,2,1022,18.8,0,0
2019/12/4,小雪,68,12,31,3,35,0.44,38,-0.8,9.7,2.9,40,西北风,1.4,1,1027,18.4,0,0
2019/12/5,小雪,68,21,38,4,37,0.69,27,-3.4,2.4,-1.4,42,东风,1.6,2,1038,20.4,0,0
2019/12/6,小雪,68,48,65,4,57,0.87,9,-6.9,1.3,-2.8,61,西南风,1,1,1032,6.7,0,44
2019/12/7,大雪,68,51,68,4,61,0.89,11,-4.6,4.9,-1,55,东南风,0.6,1,1028,7.2,0,16
2019/12/8,大雪,68,139,139,2,75,1.68,2,-5.9,-2.9,-4.1,86,西南风,1.1,1,1021,1,0,100
2019/12/9,大雪,68,181,180,2,87,2.03,3,-4,2.8,-1.8,80,西南风,0.9,1,1016,1.3,0,85
2019/12/10,大雪,68,103,115,3,52,1.48,24,-4.6,9.3,1.7,53,西北风,2.3,2,1015,13.8,0,42
2019/12/11,大雪,68,6,15,2,22,0.31,39,-2.8,3,0.6,27,西北风,3.1,2,1023,26.7,0,8
2019/12/12,大雪,68,18,35,3,45,0.57,20,-7.5,4.5,-2,33,西南风,0.8,1,1024,17.8,0,0
2019/12/13,大雪,68,22,48,4,40,0.68,26,-4.8,9.7,2,33,北风,1.8,2,1023,21,0,0
2019/12/14,大雪,68,13,26,3,43,0.45,22,-3.2,5.2,0.1,41,南风,0.6,1,1029,25.5,0,70
2019/12/15,大雪,68,48,74,9,68,1.23,4,-3.3,3,0.5,57,东北风,0.9,1,1024,8.1,0.3,96
2019/12/16,大雪,68,68,51,2,66,1.3,1,-1.6,0.8,-0.2,91,东北风,0.5,1,1017,1,5.3,100
2019/12/17,大雪,68,11,18,2,15,0.33,46,-0.9,3.5,1.8,35,北风,3.9,3,1026,30,0,64
2019/12/18,大雪,68,18,26,2,36,0.48,25,-5.8,0.8,-2.5,47,西南风,0.9,1,1028,21.9,0,76
2019/12/19,大雪,68,12,24,2,25,0.41,36,-4.8,-0.1,-2.1,32,北风,3.1,2,1028,25.4,0,32
2019/12/20,大雪,68,18,32,3,46,0.57,16,-9.4,1,-4.5,44,西南风,0.8,1,1025,20.8,0,22
2019/12/21,大雪,68,44,58,5,61,0.88,8,-8.2,3.1,-2.4,50,西南风,0.9,1,1021,10.3,0,54
2019/12/22,冬至,68,62,77,6,68,1.14,7,-5.3,3.5,-0.8,50,东北风,1,1,1018,8.7,0,56
2019/12/23,冬至,68,47,57,5,41,1,28,-3.6,0.2,-1,55,东风,1.4,1,1026,11.4,0,90
2019/12/24,冬至,68,82,76,4,55,1.33,8,-1.3,-0.1,-0.7,73,南风,1.1,1,1023,4.2,0,100
2019/12/25,冬至,68,61,59,3,39,0.98,25,-2.9,5.4,0.9,53,东北风,1.6,2,1023,12.1,0,90
2019/12/26,冬至,68,15,45,2,31,0.43,32,-5.1,3.5,-1,38,西风,1.3,1,1023,21.4,0,12
2019/12/27,冬至,68,37,85,3,59,0.9,8,-6.9,4.2,-2,48,东北风,0.9,1,1018,9.4,0,14
2019/12/28,冬至,68,75,117,9,71,1.59,6,-5.1,3,-1.2,62,东北风,1.3,1,1017,4.7,0,66
2019/12/29,冬至,68,93,114,5,58,1.52,22,-5,5.6,0.4,55,北风,2.8,2,1018,9.3,0,92
2019/12/30,冬至,68,7,35,2,9,0.32,49,-8.8,-4.2,-6.9,18,西北风,4.6,3,1036,28.4,0,7
2019/12/31,冬至,68,20,34,5,37,0.53,21,-13,-4,-8.5,31,西南风,1.6,2,1035,21.6,0,0
